Supplier_ID,Supplier_Name,Location,Product_ID,Unit_Cost,Capacity,Reliability,Lead_Time_days,Quality_Rating,Disruption_Probability
S001,Aster Materials,Chennai,P007,60.37,1406,0.992,2,4.6,0.056
S001,Aster Materials,Chennai,P005,729.26,4278,0.923,6,4.9,0.047
S001,Aster Materials,Chennai,P006,187.03,2954,0.906,5,4.3,0.009
S002,BluePeak Components,Coimbatore,P009,230.61,3919,0.934,3,3.6,0.015
S002,BluePeak Components,Coimbatore,P010,364.29,4651,0.991,8,4.0,0.029
S002,BluePeak Components,Coimbatore,P002,2.53,4080,0.895,3,4.2,0.02
S002,BluePeak Components,Coimbatore,P008,29.9,4731,0.976,5,4.6,0.025
S002,BluePeak Components,Coimbatore,P005,868.31,2458,0.925,9,3.9,0.049
S002,BluePeak Components,Coimbatore,P007,50.56,4247,0.881,3,4.7,0.048
S003,Crestline Electronics,Bengaluru,P005,731.07,1604,0.957,3,4.2,0.042
S003,Crestline Electronics,Bengaluru,P008,31.24,3085,0.944,7,4.3,0.025
S003,Crestline Electronics,Bengaluru,P006,149.51,2063,0.905,5,4.1,0.06
S003,Crestline Electronics,Bengaluru,P003,1.06,4197,0.912,2,3.9,0.048
S004,Delta Industrial Supply,Hyderabad,P005,824.65,2380,0.899,9,3.5,0.011
S004,Delta Industrial Supply,Hyderabad,P009,241.79,3635,0.899,6,4.3,0.015
S004,Delta Industrial Supply,Hyderabad,P008,32.02,2730,0.924,6,4.0,0.046
S005,Evergreen Metals,Pune,P003,1.27,2558,0.991,4,4.7,0.052
S005,Evergreen Metals,Pune,P001,8.44,3816,0.891,4,4.9,0.035
S005,Evergreen Metals,Pune,P002,2.52,3747,0.947,4,3.8,0.061
S005,Evergreen Metals,Pune,P004,493.31,2717,0.93,8,4.4,0.043
S005,Evergreen Metals,Pune,P007,62.8,3329,0.928,2,3.6,0.037
S006,Frontier Circuits,Mumbai,P006,186.27,4070,0.986,3,4.4,0.028
S006,Frontier Circuits,Mumbai,P003,1.24,1826,0.99,2,4.2,0.056
S006,Frontier Circuits,Mumbai,P002,2.44,1741,0.936,6,4.9,0.042
S007,Granite Polymer Works,Kochi,P006,147.76,2136,0.983,9,3.7,0.041
S007,Granite Polymer Works,Kochi,P003,1.01,3496,0.912,8,4.5,0.052
S007,Granite Polymer Works,Kochi,P009,232.45,1943,0.985,2,3.8,0.007
S007,Granite Polymer Works,Kochi,P004,439.5,2960,0.975,5,4.7,0.026
S007,Granite Polymer Works,Kochi,P008,32.45,3356,0.939,4,3.9,0.066
S008,Horizon Controls,Madurai,P005,912.84,1181,0.966,10,4.8,0.063
S008,Horizon Controls,Madurai,P001,8.08,2612,0.969,4,4.5,0.029
S008,Horizon Controls,Madurai,P002,2.29,3814,0.91,8,4.9,0.021
S009,Indus Precision,Mysuru,P009,197.87,2152,0.981,7,3.8,0.025
S009,Indus Precision,Mysuru,P001,8.67,1941,0.938,10,3.7,0.006
S009,Indus Precision,Mysuru,P010,325.22,1756,0.958,3,3.7,0.038
S010,Jade Components,Visakhapatnam,P008,27.38,2452,0.987,3,4.1,0.025
S010,Jade Components,Visakhapatnam,P005,846.14,2787,0.99,7,3.9,0.065
S010,Jade Components,Visakhapatnam,P009,198.72,3186,0.953,6,3.7,0.014
S010,Jade Components,Visakhapatnam,P007,58.52,529,0.949,10,4.9,0.057
S010,Jade Components,Visakhapatnam,P004,452.95,3354,0.882,9,3.7,0.059
S010,Jade Components,Visakhapatnam,P002,2.94,2583,0.941,4,4.4,0.061
S011,Kaveri Electronics,Nagpur,P009,232.95,2889,0.907,4,4.6,0.058
S011,Kaveri Electronics,Nagpur,P002,2.5,4467,0.948,2,3.7,0.059
S011,Kaveri Electronics,Nagpur,P001,8.31,4655,0.986,3,3.7,0.024
S011,Kaveri Electronics,Nagpur,P010,345.66,2550,0.882,3,3.6,0.016
S011,Kaveri Electronics,Nagpur,P004,414.01,2431,0.958,7,4.1,0.026
S011,Kaveri Electronics,Nagpur,P003,1.24,3812,0.978,9,3.6,0.017
S012,Lumen Industrial,Ahmedabad,P009,241.52,4520,0.976,2,3.6,0.065
S012,Lumen Industrial,Ahmedabad,P010,345.74,4267,0.984,9,5.0,0.057
S012,Lumen Industrial,Ahmedabad,P008,34.45,3325,0.97,7,3.7,0.04
S012,Lumen Industrial,Ahmedabad,P002,2.87,4851,0.933,9,4.1,0.047
S012,Lumen Industrial,Ahmedabad,P006,176.45,775,0.935,3,4.1,0.02
S012,Lumen Industrial,Ahmedabad,P007,60.56,2772,0.918,5,4.1,0.05
S013,Meridian Parts,Delhi,P003,1.31,3966,0.942,4,4.8,0.047
S013,Meridian Parts,Delhi,P008,36.4,2988,0.953,6,3.9,0.053
S013,Meridian Parts,Delhi,P010,374.56,3188,0.979,8,3.7,0.045
S014,NexGen Materials,Kolkata,P005,999.49,1262,0.948,9,4.7,0.057
S014,NexGen Materials,Kolkata,P001,9.96,905,0.948,4,3.6,0.045
S014,NexGen Materials,Kolkata,P010,352.02,1082,0.946,7,4.2,0.039
S014,NexGen Materials,Kolkata,P009,256.3,4640,0.937,9,4.4,0.066
S014,NexGen Materials,Kolkata,P006,168.18,4036,0.89,3,4.5,0.032
S015,Orion Components,Mangaluru,P005,780.6,2894,0.898,4,3.7,0.066
S015,Orion Components,Mangaluru,P004,429.16,3818,0.964,5,4.3,0.066
S015,Orion Components,Mangaluru,P002,2.8,3257,0.923,6,5.0,0.052
S015,Orion Components,Mangaluru,P006,192.77,2407,0.978,3,4.5,0.013
S015,Orion Components,Mangaluru,P009,223.59,645,0.881,8,4.2,0.059
