Node_ID,Node_Type,City,Latitude,Longitude,City_Latitude,City_Longitude,Nearest_Airport_IATA,Rail_Hub
S001,Supplier,Chennai,13.08879,80.2499,13.0827,80.2707,MAA,YES
S002,Supplier,Coimbatore,11.03181,76.97461,11.0168,76.9558,CJB,YES
S003,Supplier,Bengaluru,12.93258,77.56856,12.9716,77.5946,BLR,YES
S004,Supplier,Hyderabad,17.38756,78.48038,17.385,78.4867,HYD,YES
S005,Supplier,Pune,18.52006,73.83964,18.5204,73.8567,PNQ,YES
S006,Supplier,Mumbai,19.09359,72.89326,19.076,72.8777,BOM,YES
S007,Supplier,Kochi,9.93252,76.28984,9.9312,76.2673,COK,YES
S008,Supplier,Madurai,9.93455,78.10261,9.9252,78.1198,IXM,YES
S009,Supplier,Mysuru,12.30318,76.62022,12.2958,76.6394,,NO
S010,Supplier,Visakhapatnam,17.70437,83.2175,17.6868,83.2185,VTZ,YES
S011,Supplier,Nagpur,21.1421,79.07458,21.1458,79.0882,NAG,YES
S012,Supplier,Ahmedabad,23.04695,72.56831,23.0225,72.5714,AMD,YES
S013,Supplier,Delhi,28.69553,77.09546,28.7041,77.1025,DEL,YES
S014,Supplier,Kolkata,22.58325,88.37121,22.5726,88.3639,CCU,YES
S015,Supplier,Mangaluru,12.92235,74.86462,12.9141,74.856,IXE,NO
W01,Warehouse,Chennai,13.12553,80.26257,13.0827,80.2707,MAA,YES
W02,Warehouse,Coimbatore,11.00656,76.93952,11.0168,76.9558,CJB,YES
W03,Warehouse,Bengaluru,12.98392,77.61718,12.9716,77.5946,BLR,YES
W04,Warehouse,Hyderabad,17.38272,78.4699,17.385,78.4867,HYD,YES
W05,Warehouse,Pune,18.50391,73.86971,18.5204,73.8567,PNQ,YES
F01,Factory,Chennai,13.09757,80.28156,13.0827,80.2707,MAA,YES
F02,Factory,Coimbatore,11.00349,76.96044,11.0168,76.9558,CJB,YES
F03,Factory,Bengaluru,12.97393,77.59897,12.9716,77.5946,BLR,YES
F04,Factory,Hyderabad,17.40243,78.49117,17.385,78.4867,HYD,YES
C001,Customer,Madurai,9.93878,78.12115,9.9252,78.1198,IXM,YES
C002,Customer,Mysuru,12.30158,76.65203,12.2958,76.6394,,NO
C003,Customer,Visakhapatnam,17.65766,83.21211,17.6868,83.2185,VTZ,YES
C004,Customer,Nagpur,21.13639,79.07542,21.1458,79.0882,NAG,YES
C005,Customer,Ahmedabad,23.017,72.6013,23.0225,72.5714,AMD,YES
C006,Customer,Delhi,28.68678,77.12187,28.7041,77.1025,DEL,YES
C007,Customer,Kolkata,22.53894,88.3572,22.5726,88.3639,CCU,YES
C008,Customer,Kochi,9.93446,76.27902,9.9312,76.2673,COK,YES
C009,Customer,Mangaluru,12.92832,74.87187,12.9141,74.856,IXE,NO
C010,Customer,Tiruchirappalli,10.78353,78.69545,10.7905,78.7047,TRZ,YES
C011,Customer,Mumbai,19.09316,72.87387,19.076,72.8777,BOM,YES
C012,Customer,Pune,18.49489,73.83403,18.5204,73.8567,PNQ,YES
C013,Customer,Chennai,13.06431,80.28064,13.0827,80.2707,MAA,YES
C014,Customer,Coimbatore,11.01965,76.96961,11.0168,76.9558,CJB,YES
C015,Customer,Hyderabad,17.37645,78.48987,17.385,78.4867,HYD,YES
C016,Customer,Bengaluru,12.98411,77.58841,12.9716,77.5946,BLR,YES
C017,Customer,Kochi,9.94034,76.25406,9.9312,76.2673,COK,YES
C018,Customer,Madurai,9.91794,78.11217,9.9252,78.1198,IXM,YES
C019,Customer,Nagpur,21.12188,79.09794,21.1458,79.0882,NAG,YES
C020,Customer,Delhi,28.69471,77.10275,28.7041,77.1025,DEL,YES
C021,Customer,Kolkata,22.58221,88.37283,22.5726,88.3639,CCU,YES
C022,Customer,Pune,18.53371,73.85473,18.5204,73.8567,PNQ,YES
C023,Customer,Ahmedabad,23.01403,72.56981,23.0225,72.5714,AMD,YES
C024,Customer,Visakhapatnam,17.65305,83.18956,17.6868,83.2185,VTZ,YES
